CrazyGamer,crazygamer@gmail.com,T&GkY8^$kP!a,/front/ressources/img/png/avatar_02.png
ZanyNinja,zanyninja@yahoo.com,3n*YbLp@5r#x,/front/ressources/img/png/avatar_02.png
WhimsicalWizard,whimsicalwizard@hotmail.com,W%7tRv!s#E@L,/front/ressources/img/png/avatar_00.png
CheekyChampion,cheekychampion@outlook.com,p@F8&QhY4o^b,/front/ressources/img/png/avatar_01.png
SillyMaster,sillymaster@example.com,9#nBxJ2w*sFg,/front/ressources/img/png/avatar_00.png
JollyHero,jollyhero@gmail.com,h@X7zGt%v5Rw,/front/ressources/img/png/avatar_03.png
WackyDude,wackydude@yahoo.com,B&2tPz$r*W#v,/front/ressources/img/png/avatar_00.png
GoofyBoss,goofyboss@hotmail.com,L@3rF5sV#oPx,/front/ressources/img/png/avatar_01.png
CrazyWarrior,crazywarrior@outlook.com,4^%Nl9p@G!hC,/front/ressources/img/png/avatar_02.png
SneakyLegend,sneakylegend@example.com,e!@k6Fw*3#nY,/front/ressources/img/png/avatar_03.png
Marie,marie@marie.mar,marie,/front/ressources/img/png/avatar_03.png
Tiffany,tiffany@tif.tif,tiffany,/front/ressources/img/png/avatar_02.png
Tito,tito@tit.tit,tito,/front/ressources/img/png/avatar_01.png
Valentin,valentin@val.val,valentin,/front/ressources/img/png/avatar_00.png
